F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
28.89891,0.07772593,26.93555,29.269775,30.603088,3.6675377,215.70213,353.623,61.641186,139.3313,0.46076322,0.68489367,0.14726403,0.4022458,0.71807027,0.57080626,4.1108155,2.4566371,3.024926,1.7594466,0.16432647,0.8591852,25.096508,0.5470969,3.1186202,3.0343065,17.509232,0.6903448,4.873086,2.03682,0.01852187,2.9797544,0.9279992,0.70675635,7.194339,0.3213998,8.590106,0.7843537,26.13216,0.34439227,634.58405,0.38388252,1341.2535,0.15338078,-111.5159,-0.8153156,1684.1932,0.17920756,1014.37054,0.2876268,-114.16502,-0.7509653,2711.9954,0.13222626,974.4256,0.2755898,-116.43353,-0.7161296,-15.661338,-0.39868596,23.790092,0.27171856,0.021461375,1.1121043,-0.015408317,-1.0524088,0.26490775,0.475928,34.553047,0.29745162,4.716663,2.1885157,18.460762,0.8266797,4.299239,2.7096694,-7.871059,16.349718,-0.0035758903,0.011323932,0.069447935,2.0618556,1.8832392,0.251,0.18398097,0.24714284,0.2335674,-25.43518
34.111904,0.04663158,32.88416,33.81646,35.04814,2.1639824,58.44886,67.88358,17.2746,13.417581,0.75945455,0.605705,0.40068632,0.58793944,1.0534557,0.6527694,9.404683,7.168221,6.542095,3.2515044,0.3483973,0.8723863,24.255972,0.5089245,6.048649,2.2331233,3.2488837,4.3177643,-4.700186,-2.8094044,0.015490721,0.9495366,0.86991614,0.7329381,8.050275,0.335054,10.970577,0.78403354,29.649933,0.33632594,617.89685,0.3218337,1457.2449,0.1790464,-132.54333,-0.67657745,1668.4246,0.15667897,1171.7527,0.24106124,-129.83723,-0.65611446,2738.0447,0.10167449,979.93604,0.33470282,-133.142,-0.6079633,-12.953635,-0.66816556,26.794064,0.30627826,0.033883195,0.4999925,-0.014800073,-1.0442078,0.57637936,0.6066866,32.579285,0.31993213,2.450615,5.928209,2.6589153,6.299259,-13.850583,-0.88912,-10.214683,18.727854,0.013170616,-0.0054742415,0.20679957,2.7586207,2.638889,0.13736843,0.089961514,0.21,0.1696172,-21.189768
26.917795,0.057792466,25.59953,26.80677,28.135847,2.5363178,23.333101,12.774052,21.25116,8.496486,0.4323619,0.6386139,0.15281355,0.38965127,0.6908265,0.5380129,8.267613,4.921537,5.418064,2.4981627,0.15606242,0.9602152,19.144825,0.7868731,12.109904,0.8809736,15.078301,0.86391264,-0.84700525,-18.291935,0.020949056,1.1732787,1.2831361,0.99994504,6.5796328,0.28399068,2.5181153,1.8497921,24.616943,0.27635124,612.37415,0.4138143,1310.9108,0.15629354,-121.32918,-0.73349535,1650.1394,0.20955722,1007.607,0.23172238,-126.05953,-0.6586718,2721.0916,0.11163275,975.6841,0.4627977,-128.15852,-0.6268878,-15.983895,-0.41052723,25.4412,0.2611682,0.021328796,0.9320727,-0.019800445,-0.91787034,0.22876172,0.5235695,29.663155,0.38458496,13.5617285,1.0270392,19.28219,0.8251261,-8.157492,-2.2721033,-7.909705,16.448952,0.0047760974,0.0031838943,0.1037576,4.2121687,2.3584907,0.172,0.124963984,0.216875,0.307667,-27.43665
32.6616,0.09900156,32.073936,33.405067,34.328648,2.2547112,97.27157,109.5428,38.709816,44.074512,0.63681567,0.55852145,0.3064974,0.5749316,0.98251957,0.6760222,10.22819,5.551303,5.9740605,3.9206543,0.2702864,0.7911673,27.585165,0.48730642,7.0481167,1.2528477,4.2606425,2.9384828,-5.7692513,-1.8825924,0.030591331,1.8809668,1.2741939,0.9127515,7.9364524,0.40592512,3.5875518,1.955595,30.931738,0.23190194,607.36176,0.29416198,1366.9172,0.121128544,-99.16929,-0.9516204,1687.5082,0.16128136,1039.2745,0.25943533,-107.16343,-0.79288846,2753.8098,0.10147674,967.24915,0.3314743,-111.43116,-0.72643363,-16.794647,-0.31088018,27.51476,0.26522025,0.037250124,0.44819936,-0.034623247,-0.41066194,0.36889648,0.59077734,36.563004,0.22773497,7.340535,1.2691172,0.31888652,40.501865,-9.64386,-1.2429681,-9.170698,16.306248,0.0076413895,-0.00827047,0.16691868,3.900156,2.992126,0.16473684,0.122404344,0.14842105,0.10673445,-22.641449
27.56217,0.093302794,24.931322,27.474953,29.494001,4.5626793,23.513626,8.377592,30.232397,11.237893,0.97443146,0.40822798,0.5468364,0.94700074,1.3721766,0.8253403,8.789668,4.9517994,7.9920964,4.2663875,0.46748847,0.5655204,19.368082,0.8079231,14.912311,0.7302183,-0.68612015,-21.554096,1.0009202,13.608348,0.01610841,0.91309905,1.1246772,0.7775138,5.2443066,0.41367802,4.1464043,1.8033104,26.258783,0.3432412,578.52783,0.36696845,1409.3041,0.13878658,-107.66951,-0.86569196,1613.7758,0.17467545,1103.8685,0.39711356,-112.03282,-0.7782618,2670.672,0.088802844,1015.43665,0.41826367,-114.966736,-0.728949,-13.045418,-0.55627537,24.214365,0.36555448,0.045059115,0.40068105,-0.027981343,-0.6034726,0.60566264,0.41019988,27.350855,0.45305988,12.069657,0.9545313,-3.7343268,-4.624907,-0.9299139,-16.226404,-9.858458,17.92741,0.03743948,-0.011478362,0.3513156,4.6728973,3.773585,0.117,0.09061456,0.128,0.094000004,-19.746683
34.69313,0.04490158,33.750275,34.44997,35.595657,1.8453827,68.163315,111.922455,16.507505,11.146547,0.73041224,0.49541444,0.39616516,0.61584085,1.0834678,0.6873027,6.7987976,5.7193356,4.2342877,2.499089,0.25000185,0.6535835,25.421474,0.3544228,2.115826,4.902896,4.4158344,2.6369379,-5.830756,-2.0461297,0.013159776,1.0671954,0.7527795,0.774952,9.456174,0.24704373,4.6755114,2.0421467,21.076689,0.3513665,638.3883,0.34125543,1389.1616,0.1510793,-114.52973,-0.81151694,1691.8783,0.14321096,1034.3158,0.35942352,-115.32251,-0.7629082,2760.0508,0.080684885,887.5691,0.43526524,-117.013535,-0.7364449,-14.3905525,-0.39152446,23.46225,0.28540865,0.037772425,0.47951308,-0.02351707,-0.4835348,0.32509127,0.5243295,30.003439,0.25747722,1.380245,9.367013,9.193691,1.5266924,-10.775897,-1.3292898,-9.455379,17.951162,0.01819435,-0.013621253,0.18418743,2.5491624,1.6812866,0.2721739,0.17751805,0.3026087,0.3196903,-22.784801
33.835567,0.028599031,33.348923,33.823723,34.538124,1.1892014,39.38148,45.728962,14.7484255,5.9857144,0.49391764,0.51365733,0.26482067,0.41544375,0.730364,0.46554336,5.955503,2.8732111,5.0286436,2.8304582,0.1548918,0.74569494,21.76479,0.63131124,3.925962,2.5945826,6.7377357,2.05389,1.8481783,7.1143723,0.011114646,1.0712309,0.911746,0.80083543,9.51062,0.28322375,2.0856142,3.615512,24.036224,0.31283307,640.6435,0.42085564,1380.5979,0.1882276,-84.32054,-1.0192283,1658.6323,0.17019269,1067.9144,0.21136573,-87.49233,-0.9159037,2750.6602,0.101859644,988.33594,0.31971642,-92.10683,-0.8305982,-15.181081,-0.4030021,27.09621,0.26649207,0.056156624,0.32451954,-0.012625731,-0.9617381,0.19528137,0.60259163,29.532701,0.31741285,5.526137,1.7351109,10.65113,1.3396993,-0.9428474,-15.655906,-2.9213805,10.472243,0.045145296,0.0069324533,0.086817354,4.5351477,3.211009,0.18928571,0.13263614,0.09466666,0.06878629,-26.329445
32.321224,0.06671415,31.439095,32.084732,33.712837,2.2737427,72.63676,60.472824,26.768108,22.633808,0.6004188,0.5419682,0.27508074,0.53029275,0.9159907,0.64090997,7.1866302,5.3659964,6.94128,4.991377,0.2432329,0.8468922,20.111849,0.66943175,10.257786,0.9455956,3.8942437,2.9830909,-0.732526,-13.336271,0.021569205,1.2561647,1.1684278,0.77365094,7.5798697,0.31841865,7.6331167,0.7215558,30.4437,0.2496949,679.7539,0.27569854,1463.4481,0.21030201,-138.27768,-0.61801153,1703.6693,0.14133884,1097.7109,0.29786095,-141.76982,-0.558694,2826.659,0.08599763,872.4035,0.36256337,-143.83452,-0.5300807,-15.358073,-0.40245408,24.969423,0.268026,0.03848218,0.37303114,-0.022754615,-0.62879884,0.4012276,0.5324106,29.99567,0.27993354,13.572614,0.50728,2.1157107,7.113587,-6.9202995,-1.5857108,-8.492129,13.889762,0.017291535,-0.003200375,0.16845249,3.9051604,2.6685393,0.11526316,0.108694084,0.227,0.27160817,-24.484886
36.623684,0.1218277,34.54491,35.703064,37.871872,3.3269615,81.96821,105.46904,58.25071,73.888664,0.9881263,0.5296804,0.43056732,0.93795055,1.5084329,1.0778656,9.799543,6.2963347,7.3587065,4.4345365,0.42342928,0.7909983,19.349499,0.75926405,11.578504,1.0705701,0.5716454,21.38115,-9.408517,-1.364067,0.015457435,1.7366406,0.7669619,0.85966593,9.273362,0.37093252,8.750562,1.2059577,27.473286,0.39134297,660.84937,0.2737598,1370.6128,0.16746214,-112.10523,-0.8280234,1763.4291,0.15570483,1075.1637,0.31517494,-110.262276,-0.7781169,2790.838,0.09614005,934.0575,0.32532418,-111.24024,-0.7608221,-14.9160795,-0.6850615,24.091604,0.45204896,0.059142232,0.38607407,-0.02834288,-0.6794255,0.59186053,0.5693151,25.165428,0.54874945,11.308192,1.271224,-0.12203803,-115.55749,-14.745524,-0.9547806,-8.422877,15.857287,0.023289597,-0.0143935615,0.2481572,3.4307497,2.0460358,0.24125,0.17247735,0.22625,0.27241683,-18.246777
27.125778,0.061017968,26.515327,27.342115,28.011423,1.4960957,135.26166,153.12442,2.1633174,47.51703,0.725169,0.5838699,0.33203277,0.6873644,0.9902811,0.6582483,6.811485,3.6190758,5.290997,2.1278505,0.2755776,0.6258164,28.144947,0.6188148,6.227447,1.6554173,12.529801,1.1610471,3.9694831,2.9917438,0.01848506,3.1600463,0.8496961,0.72799206,7.0093765,0.2824327,3.6973302,1.4970706,26.88719,0.32957062,594.9963,0.37748262,1410.6576,0.17623001,-97.38609,-0.9314949,1624.9756,0.16974412,1041.2844,0.22642274,-102.71367,-0.82712966,2679.8809,0.1271595,1042.6537,0.27245766,-106.769516,-0.7613492,-15.403008,-0.4348145,25.353565,0.26289478,0.02878214,0.6137343,-0.021015659,-0.703837,0.35982928,0.43939456,38.135406,0.26644817,4.929936,2.027457,11.990386,1.4586092,5.4808583,2.3040562,-8.373903,16.754255,0.019025844,-0.00093919307,0.17942992,3.1963472,2.9141104,0.17789474,0.13040742,0.1375,0.077257685,-21.450079
