F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
32.95018,0.0053500277,32.79892,32.9331,33.108532,0.30961227,2.815804,1.3032552,1.933109,1.326198,1.7751305,0.31769487,1.804501,1.9468604,2.0499449,0.24544382,1.6139473,2.1450953,1.5882703,0.98193824,0.23699634,0.4683065,30.396753,0.101015866,-13.930073,-0.5783167,-7.8129096,-0.7567826,-7.2080545,-0.7038594,0.0024878266,1.3466173,0.32503405,0.5392895,11.213133,0.066857524,0.3776857,1.9505405,13.221213,0.20492357,712.2987,0.11070068,1508.597,0.11365521,-22.534948,-2.7922585,1590.517,0.05555032,1135.2178,0.205151,-23.231874,-2.6936717,2785.6396,0.052147247,713.96,0.38740224,-34.971066,-1.6718683,-4.431739,-0.27477208,17.18737,0.10895396,0.05323193,0.1466892,-0.00725727,-0.38196915,0.2518863,0.4236615,30.903336,0.058087412,-16.290144,-0.2758356,-9.324806,-0.43168384,-7.760507,-0.54587054,-12.43605,22.125626,0.036314055,-0.010303703,0.13333699,0.4538578,0.15243903,5.8199997,0.0,0.355,0.085,-16.870173
29.199959,0.04175578,29.102934,29.324366,29.545967,0.44303322,19.888517,0.0,1.2067833,0.0,0.85481894,0.24708731,0.7388756,0.83764344,0.9859488,0.24707317,2.336714,1.4672755,1.9826771,1.4729788,0.16732427,0.31316954,41.405506,0.09661786,-10.716176,-0.47229877,2.1315887,2.577893,-11.378953,-0.6360975,0.0058381315,1.7189373,0.49997026,0.6708999,8.810806,0.1445126,14.8704815,0.25461236,26.47674,0.3119287,808.8569,0.14080927,1368.9702,0.12735116,-8.03847,-3.867528,1627.2994,0.069464386,1110.4633,0.16104962,-14.400709,-2.096534,2861.8728,0.03597582,612.0486,0.38806126,-27.841887,-1.0160995,-7.9322786,-0.37271273,25.314407,0.2060115,0.018253352,0.60842824,-0.00452811,-1.5363684,0.17080867,0.28640926,41.839676,0.07255162,-11.074097,-0.42372367,1.6801041,2.8533227,-11.798546,-0.58568203,-12.662978,24.704552,-0.0039309324,0.007752622,0.059556648,1.7707363,0.09363297,10.41,0.0,0.25,0.0,-23.782299
35.624416,0.004262441,35.481174,35.59642,35.779392,0.29821777,1.5917789,0.7483871,0.9773873,0.7404037,1.1736126,0.3864828,1.1770116,1.2880116,1.4506088,0.27359724,1.0281352,0.88948995,0.80065376,0.0,0.16907333,0.4751046,31.622253,0.11177795,-11.477798,-0.5407413,-9.698949,-1.0854851,-14.0451975,-0.64153105,0.0028684803,0.5495081,0.39711308,0.4240678,12.018198,0.061198175,7.4193077,0.1558344,25.226637,0.11627753,870.9151,0.06121643,1304.4468,0.10972162,-31.22132,-2.4951055,1697.0948,0.028768163,983.6025,0.14674355,-36.21623,-2.0766923,2884.338,0.019750476,601.2685,0.25791383,-49.22467,-1.4076747,-8.008994,-0.2530546,24.124159,0.08073204,0.077669516,0.1199134,-0.0060537527,-0.6326831,0.17916578,0.45139557,32.204163,0.08051602,-14.1432295,-0.15862826,-14.086129,-0.32293606,-17.733828,-0.2212665,-12.406,21.928362,0.036567327,-0.0033053043,0.114832416,0.1490313,0.15037595,5.49,0.0,1.14,0.0,-20.521093
34.164402,0.05567228,33.42947,33.75993,34.89924,1.4697685,95.778946,98.44146,25.359322,30.776571,1.2896731,0.36749142,0.79322106,1.4846152,1.6142656,0.8210445,2.3153167,1.0145334,1.5723523,1.4945425,0.28981686,0.54242206,29.624329,0.41534236,4.347008,1.3046114,-16.353642,-0.49777877,-9.660797,-0.9279137,0.014912312,1.9072194,0.5519008,0.6924718,9.906155,0.30665165,13.922257,0.61658925,35.707672,0.28224194,892.68646,0.124086715,1250.3406,0.138616,-37.434837,-2.012247,1747.6194,0.08219087,1202.8595,0.15774384,-48.178375,-1.4440438,2968.1714,0.05458561,916.8433,0.3358796,-62.25056,-1.010472,-10.050058,-0.24608834,32.60806,0.14829595,0.060347367,0.22307377,-0.0022074105,-3.343773,0.32409516,0.4639654,33.98775,0.2191529,3.241034,1.5970659,-18.32209,-0.3511461,-11.9428425,-0.6490912,-5.804006,14.480827,0.04690142,0.0014917953,0.1378045,0.6091371,0.6128703,1.3349999,1.7615783,0.23571427,0.17036575,-16.390827
29.242775,0.065170385,27.364744,29.274958,31.046625,3.681881,8.574611,5.6447234,2.712928,0.20755029,0.9318036,0.45649755,0.5905744,0.9147448,1.3209343,0.7303599,5.2570834,2.9145842,0.6943618,0.049482733,0.20839278,0.5608958,39.512375,0.17201255,-1.4154893,-3.2976635,-5.3718452,-1.0069203,-28.475313,-0.4182109,0.0073541305,0.95749724,0.5563705,0.7518251,8.902559,0.26049665,-9.076831,-0.21944454,17.343277,0.17704737,482.5369,0.23294853,1477.8296,0.11716179,-29.97344,-2.3420658,1379.776,0.09691396,1268.0566,0.16580097,-38.60823,-1.7195048,2708.0188,0.068833426,1114.1241,0.4495409,-50.612717,-1.2140422,-14.206898,-0.12405884,28.165459,0.100862786,0.04003115,0.32378122,-0.040720947,-0.15560454,0.22918811,0.49250403,41.79319,0.09099293,-0.98378676,-4.8310137,-6.8446803,-0.5886732,-31.874105,-0.26555324,-8.479062,19.434614,-0.002763835,-0.0035831772,0.09938351,0.5012531,0.25380713,3.36,0.0,0.275,0.205,-19.4218
27.730785,0.025777303,27.700058,27.864847,28.032192,0.33213425,6.382014,4.6734366,7.0744624,3.761356,1.1569943,0.29057157,1.1256682,1.2126946,1.3034723,0.17780411,1.2267212,1.2294608,0.61804205,0.41977873,0.28064737,0.40250593,35.850468,0.1639139,-6.6295977,-0.41011214,-3.9005573,-1.6218354,-9.00282,-0.6127681,0.0075089377,0.7802742,0.687988,0.52612835,8.033037,0.14729907,-1.3015103,-4.7340803,12.411853,0.4277315,451.67307,0.059796162,1264.4308,0.07598165,-27.89656,-1.8452541,1290.5933,0.045642845,1104.3618,0.091992065,-24.792118,-2.1134338,2376.3696,0.044412192,948.3223,0.22170298,-41.600025,-1.1400502,-7.8539443,-0.23598598,24.850258,0.11683261,0.01870937,0.4437461,-0.017392239,-0.33499017,0.3037326,0.28446582,37.34333,0.07798327,-6.8862495,-0.35635948,-5.2994537,-0.74364305,-9.787866,-0.470055,-6.3849134,16.985754,0.011458042,0.016286135,0.023756389,0.37700284,0.094696976,9.69,0.0,0.84999996,0.0,-19.417358
38.021477,0.05399167,37.214172,37.8818,39.14694,1.932766,98.06735,136.23175,27.053068,39.161045,1.1388124,0.37047774,0.79491246,1.1742241,1.418226,0.62331355,4.745564,2.7562306,4.388273,4.870313,0.36792427,0.5258292,30.932615,0.14834079,-19.933239,-0.56254643,-10.295475,-0.7409949,-2.9939082,-2.41218,0.0151522085,2.2506545,1.0111557,0.59349793,6.20488,0.5819226,1.6235585,2.1377366,17.507195,0.31931153,831.7375,0.09070358,1298.91,0.12526195,-49.859207,-1.7535495,1701.5349,0.03888302,982.147,0.12823331,-51.416004,-1.6711509,2846.4524,0.034049645,671.8756,0.32570362,-63.55559,-1.2432956,-1.9127704,-1.0956484,20.027912,0.1677058,0.066333525,0.1765771,-0.004735172,-1.4075742,0.3893695,0.49844947,32.411194,0.09114853,-24.711065,-0.2549855,-12.908114,-0.40032932,-4.5853133,-1.521023,-7.089145,19.964447,0.053462528,-0.0053780307,0.3110519,1.2622721,0.84745765,0.87,1.1400584,0.24714284,0.27670068,-21.555391
34.670784,0.010288176,34.365833,34.725067,35.001137,0.6353035,5.1524234,1.9940113,4.1007433,2.1791062,0.6860992,0.33004057,0.62372446,0.6828322,0.8329096,0.20918512,3.0427217,3.7796195,0.25921097,0.615119,0.085912,0.6438737,32.617386,0.255949,6.6603546,0.68210244,-18.255882,-0.28894874,-28.493326,-0.2837867,0.0051635103,0.77087533,0.3974757,0.65194565,11.829617,0.11303734,-4.2547054,-0.37742123,26.06134,0.18436149,706.1062,0.18890694,1543.6948,0.14144117,-20.274788,-3.0868683,1546.6753,0.11182708,1337.2026,0.2827092,-34.371872,-1.6626167,2818.0886,0.04378673,731.9318,0.46791503,-45.918633,-1.1587673,-13.843335,-0.24154417,28.300596,0.14765954,0.06611143,0.14470121,-0.025418803,-0.43938828,0.09198313,0.5993479,35.13462,0.09714405,6.455979,0.7088764,-19.605337,-0.18254022,-30.755077,-0.11944271,-7.826789,15.632899,0.047674797,-0.0030655588,0.033571467,0.9070295,0.22988506,3.8799999,0.0,0.45,0.0,-25.572731
25.064169,0.054363344,24.226131,24.615555,25.398212,1.172081,5.698953,2.9641988,3.3053474,2.6937594,1.3134444,0.2281732,1.1027193,1.3425223,1.5395873,0.43686795,3.61029,4.634242,3.680406,4.513819,0.3867073,0.32905266,43.433075,0.16840282,-9.562692,-0.6604748,-7.4315734,-0.97913283,4.811461,1.0840741,0.009182743,1.1534436,0.5341489,0.68635654,6.264059,0.22320922,4.609669,0.43021917,27.499899,0.2771056,589.9234,0.1714302,1474.8235,0.08487609,-13.880277,-2.896887,1504.8881,0.05676157,1055.6724,0.20834696,-13.609311,-2.9736383,2687.2385,0.05293549,899.26794,0.29263315,-36.46703,-0.9748018,-6.004996,-0.41166562,27.287193,0.120300375,0.020036265,0.44818527,-0.002654859,-1.8016393,0.39102322,0.31901368,43.979214,0.15843831,-9.411657,-0.67386144,-7.874133,-0.9007708,5.5925784,0.6460244,-9.641536,21.442715,0.02948416,-0.012259945,0.31653938,1.6617792,0.19646366,4.85,1.68,0.22,0.19999999,-18.42351
33.202126,0.0071906545,33.085854,33.16778,33.264587,0.17873383,0.13542756,0.51253104,11.475586,11.236583,0.54941416,0.43800473,0.22716439,0.64879143,0.69673824,0.46957386,3.877927,3.1793442,0.27725118,0.007261306,0.05341466,1.0133966,27.856686,0.34931943,4.735204,1.0599309,2.2504838,1.7371595,-4.521309,-1.4490274,0.0034571628,3.6493053,0.2860937,1.7552178,12.049318,0.08114845,3.981896,0.56541353,19.43942,0.14916833,706.1736,0.11441348,1391.8237,0.10415607,-47.555843,-1.6028277,1598.8022,0.043396242,976.41315,0.21962918,-52.812332,-1.3868232,2920.6267,0.045971386,579.3375,0.4533248,-65.83691,-1.0153016,-13.777222,-0.16701548,30.2498,0.09026514,0.029080253,0.30464187,-0.0047760643,-1.3484367,0.06236298,0.90145135,32.608017,0.04836148,4.0176215,1.0450401,1.0323569,2.5450852,-7.1089354,-0.564356,-6.060914,14.106553,0.029748794,0.013029748,0.019346807,0.40404043,0.20408162,3.9199998,0.0,0.475,0.114999995,-26.529274
